destination,duration_days,travelers,hotel_rating,transportation,season,activities_count,food_preference,travel_style,total_budget
Andaman,4,2,1,Train,Off-Peak,2,Street Food,Budget,17910
Dubai,8,6,4,Flight,Shoulder,5,Fine Dining,Moderate,855500
Andaman,12,1,2,Bus,Off-Peak,13,Non-Veg,Luxury,94790
Ladakh,4,4,1,Flight,Peak,3,Non-Veg,Budget,72760
Rishikesh,8,6,3,Car,Peak,22,Fine Dining,Budget,345720
Paris,3,2,3,Flight,Peak,1,Street Food,Moderate,265870
Manali,7,2,3,Flight,Off-Peak,19,Non-Veg,Budget,73970
Andaman,8,4,2,Bus,Off-Peak,5,Non-Veg,Budget,108700
Ladakh,2,1,3,Flight,Off-Peak,2,Non-Veg,Luxury,26710
Varanasi,8,3,1,Flight,Off-Peak,24,Vegetarian,Budget,82700
Jaipur,6,5,2,Flight,Peak,7,Non-Veg,Luxury,224740
Kerala,10,7,1,Bus,Peak,8,Fine Dining,Moderate,358330
Andaman,12,5,3,Flight,Shoulder,12,Street Food,Moderate,394610
Ladakh,11,8,4,Bus,Peak,17,Street Food,Moderate,825460
Kerala,13,1,5,Car,Peak,28,Street Food,Luxury,533570
Dubai,5,5,5,Flight,Off-Peak,11,Fine Dining,Budget,651430
Jaipur,7,7,1,Flight,Peak,13,Street Food,Moderate,216090
Bali,3,5,4,Flight,Shoulder,3,Fine Dining,Budget,381740
Rishikesh,2,7,4,Flight,Shoulder,4,Fine Dining,Budget,139490
Bali,13,6,2,Flight,Shoulder,29,Fine Dining,Moderate,1015890
Varanasi,12,4,3,Flight,Off-Peak,27,Non-Veg,Luxury,340900
Bali,10,6,2,Flight,Peak,10,Non-Veg,Luxury,980510
Andaman,9,3,3,Flight,Shoulder,3,Non-Veg,Luxury,249030
Dubai,13,7,2,Flight,Off-Peak,36,Non-Veg,Moderate,1215630
Dubai,6,7,5,Flight,Shoulder,17,Street Food,Budget,1128090
Goa,8,2,4,Train,Peak,10,Street Food,Luxury,180270
Bali,11,2,4,Flight,Peak,23,Non-Veg,Luxury,586470
Manali,3,7,5,Train,Off-Peak,8,Vegetarian,Budget,167880
Udaipur,14,4,4,Flight,Peak,31,Non-Veg,Budget,521500
Ladakh,10,7,4,Car,Off-Peak,1,Non-Veg,Moderate,470990
Bali,5,2,2,Flight,Peak,5,Street Food,Budget,135680
Ladakh,14,8,4,Flight,Off-Peak,18,Non-Veg,Luxury,1319110
Dubai,4,7,3,Flight,Shoulder,7,Non-Veg,Budget,492550
Udaipur,4,5,1,Flight,Off-Peak,5,Vegetarian,Luxury,141140
Dubai,8,7,3,Flight,Off-Peak,15,Vegetarian,Luxury,1167210
Dubai,2,7,5,Flight,Peak,2,Fine Dining,Budget,486710
Goa,3,7,1,Flight,Off-Peak,1,Vegetarian,Moderate,105270
Jaipur,11,5,5,Flight,Peak,13,Non-Veg,Budget,723420
Ladakh,5,8,4,Bus,Off-Peak,13,Non-Veg,Luxury,507590
Singapore,3,5,1,Flight,Off-Peak,9,Fine Dining,Budget,431320
Manali,8,8,5,Flight,Peak,9,Vegetarian,Budget,723950
Ladakh,11,2,1,Flight,Shoulder,11,Vegetarian,Budget,76520
Andaman,8,2,4,Car,Peak,24,Vegetarian,Luxury,303570
Jaipur,6,3,1,Car,Peak,9,Fine Dining,Moderate,103560
Kerala,2,4,3,Flight,Shoulder,1,Street Food,Luxury,86010
Manali,9,2,2,Car,Shoulder,2,Vegetarian,Moderate,52240
Manali,13,2,4,Flight,Peak,7,Fine Dining,Budget,221280
Ladakh,9,1,2,Car,Off-Peak,18,Vegetarian,Moderate,56220
Kerala,10,8,3,Flight,Shoulder,30,Vegetarian,Luxury,741880
Andaman,9,6,4,Flight,Shoulder,7,Vegetarian,Budget,392430
Manali,2,8,3,Train,Peak,6,Street Food,Budget,84580
Ladakh,4,4,2,Flight,Shoulder,1,Vegetarian,Luxury,110550
Varanasi,5,6,1,Flight,Off-Peak,7,Non-Veg,Moderate,123040
Rishikesh,6,6,3,Flight,Shoulder,6,Street Food,Luxury,258930
Manali,2,3,3,Flight,Off-Peak,1,Street Food,Luxury,60730
Paris,11,5,5,Flight,Off-Peak,23,Street Food,Moderate,2125320
Rishikesh,11,4,1,Flight,Peak,22,Street Food,Moderate,196820
Dubai,8,4,3,Flight,Shoulder,17,Fine Dining,Budget,495810
Kerala,9,2,4,Flight,Shoulder,5,Fine Dining,Moderate,159220
Ladakh,8,1,4,Flight,Peak,3,Fine Dining,Luxury,212270
Manali,5,1,4,Train,Shoulder,14,Non-Veg,Moderate,52720
Paris,10,8,1,Flight,Peak,1,Street Food,Moderate,1153310
Goa,12,5,1,Train,Off-Peak,10,Vegetarian,Moderate,159070
Jaipur,10,2,1,Flight,Off-Peak,6,Non-Veg,Budget,52910
Kerala,4,3,5,Flight,Peak,9,Fine Dining,Moderate,243290
Kerala,10,4,3,Car,Off-Peak,20,Fine Dining,Budget,220520
Manali,2,5,4,Train,Peak,2,Fine Dining,Budget,74590
Jaipur,7,1,3,Flight,Shoulder,5,Non-Veg,Luxury,70150
Kerala,2,7,3,Flight,Off-Peak,6,Fine Dining,Moderate,157920
Goa,11,8,5,Flight,Peak,2,Vegetarian,Budget,1083660
Manali,11,5,3,Flight,Peak,22,Non-Veg,Luxury,575430
Manali,12,5,3,Train,Shoulder,30,Fine Dining,Luxury,713040
Kerala,10,1,2,Flight,Off-Peak,22,Non-Veg,Budget,51530
Singapore,7,8,5,Flight,Off-Peak,1,Non-Veg,Moderate,1333910
Singapore,3,3,1,Flight,Peak,8,Fine Dining,Budget,259370
Andaman,11,1,3,Bus,Off-Peak,21,Fine Dining,Moderate,119710
Bali,11,5,1,Flight,Off-Peak,18,Non-Veg,Luxury,863100
Goa,8,7,5,Train,Off-Peak,10,Fine Dining,Budget,598560
Singapore,10,7,1,Flight,Shoulder,3,Vegetarian,Moderate,647580
Udaipur,5,4,4,Bus,Shoulder,8,Vegetarian,Budget,118730
Kerala,9,7,1,Car,Shoulder,22,Vegetarian,Moderate,267800
Rishikesh,2,3,3,Flight,Peak,5,Fine Dining,Budget,61490
Andaman,11,3,5,Bus,Shoulder,18,Fine Dining,Moderate,705240
Udaipur,4,6,1,Train,Off-Peak,3,Non-Veg,Luxury,108040
Ladakh,4,4,3,Train,Peak,5,Vegetarian,Moderate,101070
Ladakh,3,6,3,Flight,Shoulder,2,Fine Dining,Luxury,229140
Udaipur,6,1,4,Flight,Shoulder,13,Vegetarian,Budget,65560
Varanasi,9,1,2,Car,Peak,8,Non-Veg,Luxury,63530
Dubai,11,5,3,Flight,Peak,15,Vegetarian,Moderate,785370
Singapore,4,7,2,Flight,Peak,5,Vegetarian,Budget,550640
Andaman,4,2,4,Flight,Shoulder,5,Non-Veg,Luxury,111560
Kerala,2,5,1,Flight,Off-Peak,2,Vegetarian,Moderate,69310
Bali,4,7,4,Flight,Off-Peak,4,Street Food,Budget,492520
Kerala,7,1,2,Flight,Peak,19,Non-Veg,Luxury,77080
Rishikesh,14,6,1,Flight,Peak,27,Vegetarian,Luxury,561830
Manali,11,4,2,Flight,Off-Peak,15,Street Food,Luxury,238880
Bali,2,1,1,Flight,Off-Peak,1,Non-Veg,Luxury,92020
Varanasi,8,2,4,Flight,Shoulder,13,Fine Dining,Luxury,192340
Rishikesh,13,6,3,Car,Shoulder,1,Street Food,Luxury,360290
Singapore,4,4,1,Flight,Shoulder,6,Non-Veg,Budget,308410
Manali,8,8,4,Car,Off-Peak,3,Fine Dining,Moderate,437830
Udaipur,13,5,2,Flight,Off-Peak,8,Fine Dining,Moderate,360290
Bali,13,2,1,Flight,Off-Peak,29,Street Food,Moderate,271820
Paris,8,6,1,Flight,Shoulder,6,Street Food,Luxury,1386200
Andaman,3,3,1,Bus,Peak,9,Vegetarian,Luxury,98540
Udaipur,10,1,4,Train,Off-Peak,20,Vegetarian,Budget,86400
Manali,12,2,4,Train,Off-Peak,29,Vegetarian,Moderate,158930
Udaipur,12,7,2,Flight,Peak,10,Non-Veg,Luxury,608340
Rishikesh,7,3,1,Bus,Shoulder,21,Fine Dining,Luxury,224020
Andaman,5,8,1,Flight,Peak,10,Fine Dining,Budget,289790
Goa,13,4,4,Bus,Peak,37,Non-Veg,Budget,443470
Manali,5,3,3,Flight,Off-Peak,11,Street Food,Moderate,96720
Kerala,9,5,1,Train,Off-Peak,7,Street Food,Moderate,104970
Manali,7,4,5,Flight,Peak,4,Fine Dining,Luxury,636100
Andaman,14,6,2,Train,Shoulder,19,Non-Veg,Moderate,446200
Singapore,5,6,1,Flight,Peak,8,Non-Veg,Moderate,575080
Varanasi,5,4,4,Car,Shoulder,11,Street Food,Moderate,117990
Andaman,11,8,4,Flight,Shoulder,33,Fine Dining,Luxury,1774820
Kerala,6,5,3,Bus,Peak,10,Street Food,Luxury,234660
Goa,8,3,5,Flight,Shoulder,18,Fine Dining,Budget,349520
Dubai,2,7,2,Flight,Shoulder,4,Street Food,Budget,358930
Jaipur,13,6,1,Train,Off-Peak,14,Fine Dining,Luxury,541630
Kerala,3,3,5,Flight,Shoulder,6,Vegetarian,Budget,109530
Jaipur,6,8,4,Train,Off-Peak,1,Fine Dining,Moderate,332230
Paris,11,8,2,Flight,Shoulder,8,Fine Dining,Luxury,2441260
Udaipur,2,4,2,Train,Off-Peak,2,Vegetarian,Moderate,30830
Dubai,4,4,2,Flight,Shoulder,11,Non-Veg,Luxury,468610
Bali,13,5,3,Flight,Peak,26,Street Food,Moderate,878350
Udaipur,2,7,2,Flight,Peak,6,Non-Veg,Luxury,199590
Goa,3,2,2,Bus,Peak,1,Vegetarian,Luxury,27780
Ladakh,10,5,2,Flight,Shoulder,25,Non-Veg,Budget,341420
Jaipur,8,8,5,Flight,Off-Peak,6,Street Food,Moderate,581610
Dubai,3,4,4,Flight,Peak,6,Fine Dining,Luxury,547230
Andaman,11,3,1,Train,Shoulder,27,Fine Dining,Luxury,408750
Goa,3,4,2,Flight,Shoulder,2,Non-Veg,Moderate,67880
Dubai,2,2,1,Flight,Shoulder,3,Street Food,Budget,94480
Singapore,10,1,5,Flight,Peak,7,Vegetarian,Moderate,519210
Manali,2,5,1,Flight,Peak,3,Street Food,Moderate,74800
Varanasi,3,4,3,Flight,Off-Peak,2,Fine Dining,Luxury,132520
Udaipur,6,8,3,Flight,Peak,7,Vegetarian,Luxury,459130
Manali,8,6,4,Flight,Peak,16,Street Food,Luxury,578740
Manali,11,1,2,Bus,Off-Peak,7,Street Food,Luxury,53320
Rishikesh,12,4,4,Train,Shoulder,6,Vegetarian,Moderate,260000
Andaman,8,7,1,Flight,Off-Peak,16,Street Food,Moderate,323210
Paris,13,4,2,Flight,Peak,27,Vegetarian,Moderate,1126460
Paris,7,1,3,Flight,Off-Peak,7,Fine Dining,Budget,173840
Dubai,10,2,5,Flight,Shoulder,14,Fine Dining,Moderate,529060
Rishikesh,7,4,3,Car,Peak,19,Non-Veg,Moderate,190830
Andaman,12,3,1,Train,Off-Peak,31,Fine Dining,Luxury,410770
Dubai,7,5,4,Flight,Shoulder,18,Street Food,Luxury,1148830
Goa,14,4,1,Flight,Off-Peak,22,Non-Veg,Budget,201930
Udaipur,4,8,4,Flight,Off-Peak,11,Non-Veg,Moderate,294890
Dubai,7,1,2,Flight,Shoulder,5,Fine Dining,Moderate,105240
Jaipur,2,8,2,Car,Peak,5,Street Food,Budget,74420
Goa,12,8,2,Train,Off-Peak,11,Street Food,Moderate,276700
Paris,14,2,1,Flight,Off-Peak,19,Non-Veg,Moderate,413680
Paris,9,7,2,Flight,Peak,25,Vegetarian,Budget,1458980
Manali,4,2,1,Bus,Off-Peak,5,Non-Veg,Budget,22040
Ladakh,9,4,1,Flight,Off-Peak,16,Street Food,Moderate,169300
Bali,14,7,1,Flight,Off-Peak,38,Street Food,Budget,865670
Paris,11,7,3,Flight,Shoulder,26,Street Food,Moderate,1873090
Bali,11,7,5,Flight,Peak,13,Fine Dining,Moderate,1994540
Bali,13,6,2,Flight,Peak,19,Non-Veg,Luxury,1171360
Paris,7,4,4,Flight,Off-Peak,7,Non-Veg,Budget,705440
Bali,3,5,2,Flight,Off-Peak,1,Street Food,Budget,269270
Ladakh,9,4,4,Flight,Peak,11,Street Food,Luxury,527200
Manali,7,1,1,Flight,Shoulder,5,Street Food,Budget,21460
Goa,4,7,3,Train,Off-Peak,4,Fine Dining,Moderate,184600
Bali,9,4,2,Flight,Shoulder,10,Non-Veg,Moderate,406170
Manali,11,3,1,Flight,Shoulder,31,Vegetarian,Moderate,165670
Paris,10,7,4,Flight,Shoulder,22,Non-Veg,Budget,1765190
Jaipur,3,8,2,Bus,Shoulder,7,Fine Dining,Budget,130010
Kerala,6,7,5,Flight,Off-Peak,6,Street Food,Luxury,645030
Goa,2,1,2,Flight,Shoulder,6,Vegetarian,Budget,16050
Paris,8,1,3,Flight,Peak,19,Vegetarian,Luxury,425900
Ladakh,5,3,4,Bus,Shoulder,11,Non-Veg,Luxury,222280
Dubai,13,4,2,Flight,Shoulder,27,Non-Veg,Moderate,640590
Singapore,5,1,1,Flight,Peak,1,Vegetarian,Luxury,114180
Bali,11,4,1,Flight,Off-Peak,29,Vegetarian,Luxury,699650
Ladakh,10,1,2,Train,Peak,11,Fine Dining,Budget,71910
Bali,14,3,5,Flight,Off-Peak,4,Non-Veg,Budget,695670
Paris,5,8,4,Flight,Shoulder,2,Non-Veg,Moderate,1345850
Rishikesh,12,1,5,Bus,Peak,9,Non-Veg,Luxury,384830
Rishikesh,3,6,5,Flight,Shoulder,5,Street Food,Budget,177940
Paris,5,2,1,Flight,Peak,6,Non-Veg,Luxury,448700
Jaipur,2,7,4,Car,Off-Peak,4,Fine Dining,Budget,94450
Bali,3,5,2,Flight,Off-Peak,7,Non-Veg,Moderate,408180
Paris,7,1,1,Flight,Shoulder,16,Street Food,Moderate,198120
Manali,10,8,4,Flight,Peak,22,Non-Veg,Moderate,777270
Andaman,10,6,1,Flight,Off-Peak,13,Non-Veg,Moderate,319260
Kerala,11,3,2,Flight,Shoulder,29,Vegetarian,Luxury,281720
Jaipur,9,7,1,Car,Shoulder,6,Non-Veg,Luxury,285470
Bali,12,1,4,Flight,Shoulder,16,Fine Dining,Luxury,371030
Kerala,7,6,5,Train,Shoulder,5,Street Food,Moderate,474360
Udaipur,8,5,1,Train,Peak,18,Fine Dining,Luxury,385460
Varanasi,2,2,3,Flight,Shoulder,1,Street Food,Moderate,26120
Bali,5,2,2,Flight,Off-Peak,14,Fine Dining,Moderate,202860
Manali,10,8,1,Train,Shoulder,17,Street Food,Budget,201180
Dubai,7,1,1,Flight,Off-Peak,20,Non-Veg,Moderate,113020
Paris,12,3,5,Flight,Shoulder,36,Street Food,Moderate,1769730
Goa,12,4,1,Bus,Off-Peak,13,Vegetarian,Budget,106540
Kerala,7,1,1,Train,Shoulder,21,Vegetarian,Moderate,34570
Bali,14,1,4,Flight,Off-Peak,42,Fine Dining,Budget,270940
Kerala,5,4,4,Train,Peak,11,Vegetarian,Moderate,162710
Goa,2,8,2,Flight,Peak,3,Non-Veg,Moderate,133710
Andaman,4,5,5,Train,Peak,8,Fine Dining,Budget,369200
Varanasi,9,2,3,Flight,Off-Peak,20,Fine Dining,Moderate,120980
Udaipur,6,1,4,Train,Shoulder,7,Fine Dining,Luxury,112210
Varanasi,5,5,3,Train,Shoulder,7,Street Food,Luxury,145360
Dubai,8,6,5,Flight,Peak,22,Fine Dining,Luxury,2292300
Ladakh,10,4,3,Train,Shoulder,21,Non-Veg,Moderate,296860
Jaipur,8,7,3,Train,Peak,5,Vegetarian,Luxury,388950
Udaipur,7,8,1,Car,Off-Peak,10,Non-Veg,Budget,190010
Dubai,8,4,3,Flight,Shoulder,8,Street Food,Luxury,587450
Rishikesh,2,6,1,Bus,Shoulder,3,Vegetarian,Moderate,49200
Goa,11,3,5,Flight,Shoulder,11,Vegetarian,Budget,414940
Ladakh,4,4,5,Flight,Shoulder,8,Non-Veg,Luxury,355110
Kerala,11,6,3,Train,Shoulder,1,Non-Veg,Luxury,400970
Manali,8,3,3,Train,Shoulder,4,Fine Dining,Budget,132810
Paris,13,1,3,Flight,Shoulder,2,Non-Veg,Luxury,366780
Jaipur,7,4,1,Flight,Shoulder,20,Fine Dining,Luxury,290570
Dubai,5,4,4,Flight,Off-Peak,14,Fine Dining,Budget,390080
Paris,13,2,1,Flight,Peak,16,Fine Dining,Luxury,641360
Kerala,8,6,2,Bus,Shoulder,5,Street Food,Luxury,192600
Kerala,14,6,1,Train,Off-Peak,24,Street Food,Budget,211740
Rishikesh,13,6,3,Flight,Peak,17,Street Food,Budget,363880
Dubai,3,4,3,Flight,Peak,2,Street Food,Luxury,382340
Ladakh,7,6,3,Bus,Peak,15,Vegetarian,Moderate,298040
Kerala,10,2,4,Train,Peak,15,Fine Dining,Moderate,197110
Kerala,3,6,4,Flight,Shoulder,3,Street Food,Moderate,149830
Kerala,14,7,1,Train,Off-Peak,8,Street Food,Moderate,198750
Bali,11,1,4,Flight,Off-Peak,15,Vegetarian,Luxury,288820
Jaipur,2,4,5,Train,Peak,4,Street Food,Budget,62140
Goa,13,6,5,Bus,Off-Peak,10,Non-Veg,Luxury,1115360
Andaman,9,4,1,Car,Peak,9,Non-Veg,Luxury,243220
Rishikesh,2,5,5,Flight,Peak,6,Fine Dining,Luxury,240630
Kerala,7,4,4,Flight,Peak,5,Non-Veg,Luxury,346150
Jaipur,6,3,4,Flight,Shoulder,15,Street Food,Moderate,153660
Bali,3,2,3,Flight,Shoulder,1,Fine Dining,Luxury,208330
Manali,10,4,3,Flight,Off-Peak,12,Non-Veg,Budget,175470
Dubai,12,3,5,Flight,Shoulder,31,Vegetarian,Luxury,1655870
Varanasi,2,7,2,Train,Peak,6,Street Food,Luxury,84500
Singapore,7,2,4,Flight,Peak,6,Vegetarian,Moderate,298620
Bali,3,1,5,Flight,Shoulder,4,Non-Veg,Budget,96110
Rishikesh,5,7,5,Bus,Shoulder,8,Non-Veg,Luxury,554880
Singapore,9,2,1,Flight,Shoulder,5,Street Food,Moderate,176250
Dubai,6,6,5,Flight,Off-Peak,3,Fine Dining,Budget,660840
Ladakh,7,1,1,Bus,Peak,1,Non-Veg,Luxury,36670
Singapore,10,4,5,Flight,Shoulder,18,Vegetarian,Budget,1027420
Ladakh,12,6,1,Flight,Shoulder,33,Street Food,Moderate,461510
Goa,5,1,3,Flight,Off-Peak,13,Non-Veg,Moderate,42510
Paris,9,6,3,Flight,Off-Peak,3,Non-Veg,Budget,902320
Rishikesh,10,2,1,Flight,Peak,27,Non-Veg,Moderate,115320
Goa,14,6,1,Flight,Shoulder,25,Vegetarian,Budget,288080
Kerala,4,1,1,Flight,Off-Peak,9,Non-Veg,Moderate,26420
Kerala,2,4,1,Bus,Off-Peak,4,Vegetarian,Luxury,45870
Andaman,5,7,1,Flight,Off-Peak,11,Vegetarian,Luxury,377280
Udaipur,5,7,5,Flight,Off-Peak,9,Fine Dining,Luxury,740190
Udaipur,4,1,1,Flight,Peak,2,Fine Dining,Luxury,43620
Singapore,2,8,1,Flight,Shoulder,1,Street Food,Budget,445750
Varanasi,14,1,5,Bus,Shoulder,7,Non-Veg,Budget,190300
Rishikesh,7,2,1,Bus,Off-Peak,3,Fine Dining,Luxury,84650
Ladakh,7,7,5,Train,Off-Peak,13,Fine Dining,Moderate,740330
Manali,11,3,4,Flight,Peak,16,Street Food,Moderate,327460
Singapore,3,7,2,Flight,Shoulder,4,Fine Dining,Moderate,587720
Paris,8,7,4,Flight,Off-Peak,8,Vegetarian,Moderate,1505130
Jaipur,9,2,2,Train,Off-Peak,16,Fine Dining,Budget,81720
Kerala,5,5,4,Car,Shoulder,5,Street Food,Moderate,170890
Andaman,5,4,1,Flight,Off-Peak,2,Vegetarian,Moderate,81340
Manali,12,5,2,Train,Peak,24,Non-Veg,Moderate,307380
Manali,11,7,5,Train,Peak,27,Fine Dining,Moderate,1282700
Ladakh,8,6,4,Train,Off-Peak,13,Street Food,Budget,289380
Rishikesh,10,4,1,Flight,Off-Peak,8,Street Food,Luxury,180200
Dubai,5,7,2,Flight,Off-Peak,14,Vegetarian,Moderate,664120
Kerala,13,3,5,Flight,Off-Peak,11,Street Food,Budget,407260
Bali,5,5,1,Flight,Peak,15,Fine Dining,Budget,439430
Dubai,4,2,1,Flight,Off-Peak,8,Non-Veg,Budget,125920
Ladakh,9,2,5,Flight,Peak,18,Vegetarian,Moderate,340300
Singapore,8,1,4,Flight,Shoulder,22,Street Food,Luxury,375210
Singapore,13,5,5,Flight,Shoulder,19,Street Food,Luxury,2924770
Varanasi,4,3,1,Train,Peak,5,Street Food,Moderate,35410
Varanasi,10,2,5,Train,Off-Peak,4,Vegetarian,Moderate,134750
Jaipur,12,6,4,Bus,Peak,27,Non-Veg,Budget,486140
Udaipur,7,6,4,Bus,Off-Peak,14,Vegetarian,Moderate,287880
Bali,8,4,4,Flight,Off-Peak,17,Vegetarian,Budget,445310
Jaipur,10,1,4,Train,Peak,23,Vegetarian,Budget,113510
Dubai,2,8,1,Flight,Shoulder,4,Fine Dining,Budget,442460
Paris,4,2,4,Flight,Peak,12,Non-Veg,Moderate,426170
Singapore,5,2,4,Flight,Off-Peak,14,Fine Dining,Moderate,293370
Singapore,2,5,5,Flight,Peak,2,Street Food,Luxury,684890
Varanasi,13,5,3,Train,Shoulder,33,Non-Veg,Moderate,328010
Jaipur,12,2,2,Train,Shoulder,14,Non-Veg,Budget,77420
Singapore,7,2,4,Flight,Shoulder,3,Non-Veg,Moderate,269870
Manali,12,5,4,Bus,Peak,7,Non-Veg,Luxury,687240
Singapore,2,2,5,Flight,Shoulder,2,Fine Dining,Moderate,179550
Jaipur,13,5,3,Flight,Shoulder,25,Non-Veg,Budget,328030
Goa,14,8,5,Flight,Off-Peak,22,Vegetarian,Luxury,1733110
Paris,12,5,3,Flight,Off-Peak,35,Street Food,Budget,1304070
Paris,2,3,1,Flight,Shoulder,4,Non-Veg,Moderate,404390
Singapore,3,7,4,Flight,Off-Peak,2,Vegetarian,Budget,499590
Bali,9,4,4,Flight,Shoulder,1,Street Food,Luxury,633430
Udaipur,12,4,3,Car,Off-Peak,12,Fine Dining,Budget,261600
Dubai,4,5,1,Flight,Off-Peak,10,Non-Veg,Budget,334170
Jaipur,4,4,4,Flight,Peak,2,Vegetarian,Luxury,189530
Ladakh,6,3,3,Bus,Off-Peak,9,Non-Veg,Luxury,173820
Goa,4,5,2,Bus,Shoulder,1,Fine Dining,Moderate,99190
Paris,3,2,5,Flight,Shoulder,2,Fine Dining,Moderate,370570
Goa,11,5,1,Flight,Shoulder,13,Vegetarian,Budget,174710
Varanasi,6,3,3,Bus,Peak,2,Non-Veg,Moderate,84720
Dubai,14,2,1,Flight,Off-Peak,13,Fine Dining,Moderate,261980
Ladakh,4,3,1,Train,Peak,4,Street Food,Moderate,48160
Andaman,11,7,5,Flight,Peak,23,Non-Veg,Budget,1451200
Manali,11,5,1,Bus,Off-Peak,13,Vegetarian,Luxury,233100
Singapore,14,5,2,Flight,Shoulder,42,Non-Veg,Moderate,1125830
Andaman,12,3,5,Train,Shoulder,27,Non-Veg,Budget,639230
Dubai,10,4,2,Flight,Shoulder,7,Street Food,Moderate,347780
Paris,10,7,4,Flight,Off-Peak,9,Vegetarian,Luxury,2455450
Singapore,7,5,2,Flight,Shoulder,8,Non-Veg,Moderate,593000
Kerala,10,6,3,Flight,Shoulder,7,Fine Dining,Budget,351750
Varanasi,4,6,5,Flight,Shoulder,11,Vegetarian,Budget,216240
Singapore,11,7,3,Flight,Shoulder,14,Fine Dining,Luxury,1799880
Udaipur,8,6,1,Flight,Peak,18,Non-Veg,Budget,215090
Bali,14,6,3,Flight,Peak,36,Street Food,Budget,986190
Ladakh,13,7,4,Train,Shoulder,28,Street Food,Luxury,1316190
Bali,6,8,1,Flight,Shoulder,4,Street Food,Luxury,888750
Dubai,2,7,5,Flight,Peak,1,Fine Dining,Luxury,789340
Manali,3,1,2,Bus,Shoulder,8,Vegetarian,Moderate,16430
Varanasi,8,7,3,Flight,Shoulder,3,Street Food,Budget,194530
Andaman,9,5,3,Train,Off-Peak,22,Non-Veg,Budget,301680
Jaipur,7,7,5,Train,Peak,9,Fine Dining,Budget,673990
Singapore,8,7,5,Flight,Peak,16,Fine Dining,Moderate,2174230
Paris,13,5,2,Flight,Off-Peak,28,Vegetarian,Moderate,1356440
Rishikesh,11,3,3,Bus,Peak,20,Vegetarian,Budget,172390
Dubai,5,6,4,Flight,Shoulder,12,Non-Veg,Moderate,711360
Ladakh,10,2,4,Bus,Peak,17,Fine Dining,Luxury,343070
Paris,8,1,4,Flight,Peak,11,Fine Dining,Budget,297050
Manali,2,2,2,Flight,Off-Peak,4,Fine Dining,Budget,35470
Bali,12,4,1,Flight,Shoulder,33,Fine Dining,Budget,583880
Paris,9,8,3,Flight,Off-Peak,13,Street Food,Budget,1428170
Andaman,7,7,2,Flight,Peak,14,Non-Veg,Moderate,385110
Ladakh,5,5,4,Train,Off-Peak,7,Non-Veg,Budget,165650
Manali,12,3,2,Flight,Shoulder,27,Vegetarian,Moderate,194930
Paris,2,8,2,Flight,Peak,4,Fine Dining,Moderate,1150030
Udaipur,9,7,2,Train,Peak,13,Non-Veg,Moderate,315440
Varanasi,13,1,5,Train,Off-Peak,39,Street Food,Moderate,175390
Udaipur,14,6,5,Flight,Shoulder,42,Non-Veg,Moderate,1313180
Paris,7,3,5,Flight,Shoulder,7,Street Food,Luxury,1403450
Ladakh,2,4,4,Flight,Shoulder,5,Street Food,Moderate,87980
Kerala,2,8,4,Train,Peak,3,Street Food,Moderate,99900
Manali,3,6,4,Bus,Off-Peak,4,Vegetarian,Luxury,134080
Singapore,2,1,5,Flight,Shoulder,6,Vegetarian,Moderate,116650
Varanasi,13,3,2,Train,Off-Peak,17,Fine Dining,Budget,167680
Singapore,7,7,3,Flight,Peak,11,Non-Veg,Budget,882970
Kerala,8,7,1,Train,Off-Peak,1,Vegetarian,Moderate,117240
Bali,13,2,1,Flight,Peak,16,Fine Dining,Luxury,430480
Dubai,7,7,1,Flight,Peak,20,Street Food,Moderate,825160
Manali,10,2,3,Train,Off-Peak,15,Fine Dining,Moderate,123440
Ladakh,13,5,4,Flight,Peak,33,Street Food,Luxury,1232930
Goa,6,8,5,Flight,Off-Peak,13,Non-Veg,Luxury,814890
Paris,7,3,3,Flight,Shoulder,11,Fine Dining,Budget,553340
Bali,3,5,2,Flight,Off-Peak,4,Non-Veg,Budget,312810
Bali,13,3,4,Flight,Shoulder,19,Vegetarian,Moderate,587100
Udaipur,12,4,5,Train,Peak,10,Vegetarian,Moderate,682060
Manali,5,2,5,Flight,Peak,5,Street Food,Moderate,128340
Jaipur,5,2,3,Train,Off-Peak,9,Fine Dining,Budget,51880
Ladakh,6,3,1,Flight,Off-Peak,9,Fine Dining,Budget,108000
Paris,12,3,2,Flight,Off-Peak,31,Non-Veg,Moderate,874040
Rishikesh,13,7,4,Flight,Shoulder,31,Fine Dining,Budget,787080
Jaipur,7,2,5,Train,Peak,5,Fine Dining,Luxury,281330
Ladakh,8,6,5,Bus,Shoulder,7,Fine Dining,Luxury,993190
Manali,9,6,3,Bus,Off-Peak,2,Fine Dining,Luxury,414560
Singapore,3,3,5,Flight,Shoulder,6,Fine Dining,Luxury,626390
Manali,8,8,3,Bus,Peak,7,Non-Veg,Budget,265650
Ladakh,10,2,5,Bus,Peak,24,Vegetarian,Budget,329350
Manali,6,7,2,Flight,Off-Peak,6,Fine Dining,Budget,219780
Bali,7,8,2,Flight,Peak,19,Vegetarian,Budget,722040
Varanasi,4,8,2,Flight,Peak,5,Street Food,Budget,125010
Manali,7,6,3,Flight,Peak,3,Fine Dining,Budget,242480
Goa,14,5,3,Flight,Shoulder,35,Vegetarian,Luxury,688710
